AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
5028.4,2497.7,8.66,344.39,1490.51,0.01,92.57,1
5035.0,2495.0,8.63,344.49,1489.96,-0.02,92.85,1
5040.2,2496.3,8.62,344.57,1490.16,-0.04,92.35,1
5044.9,2486.4,8.59,344.7,1490.36,-0.06,91.94,1
5048.0,2490.3,8.6,344.84,1490.43,0.01,90.9,1
5050.0,2483.3,8.51,344.97,1491.35,-0.05,90.82,1
5052.1,2490.0,8.67,345.09,1491.49,-0.03,91.95,1
5054.0,2495.7,8.6,345.19,1491.32,-0.1,92.35,1
5054.3,2485.0,8.6,345.31,1490.89,-0.08,91.91,1
5051.6,2488.5,8.59,345.39,1490.8,0.08,91.79,1
5051.6,2491.7,8.61,345.52,1490.71,0.07,92.41,1
5053.1,2491.5,8.54,345.64,1490.72,-0.08,93.46,1
5052.7,2496.9,8.66,345.78,1491.91,0.0,93.95,1
5052.2,2504.7,8.63,345.9,1493.15,0.01,93.06,1
5052.2,2500.1,8.66,345.99,1493.85,-0.14,94.43,1
5050.6,2506.6,8.66,346.08,1493.81,-0.01,95.43,1
5047.4,2514.6,8.68,346.21,1493.55,-0.03,95.41,1
5041.8,2517.2,8.65,346.33,1494.06,0.04,95.84,1
5037.3,2520.3,8.7,346.45,1494.11,0.01,96.78,1
5031.0,2515.9,8.75,346.55,1494.27,-0.01,97.05,1
5016.8,2539.7,8.74,346.64,1493.73,0.09,99.42,1
5012.8,2541.7,8.85,346.85,1493.51,0.19,100.19,1
5014.1,2551.9,8.81,346.93,1493.21,0.0,100.83,1
5015.3,2566.3,8.76,347.07,1492.97,0.06,103.26,1
5017.9,2560.8,8.81,347.18,1492.77,0.06,102.45,1
5022.2,2564.7,8.83,347.27,1492.62,-0.03,101.9,1
5027.6,2558.8,8.72,347.35,1493.27,0.11,102.21,1
5034.4,2553.3,8.87,347.35,1494.09,0.07,102.25,1
5041.0,2554.8,8.82,347.44,1494.17,-0.07,101.79,1
5049.3,2549.1,8.76,347.66,1494.05,-0.05,99.78,1
