AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
4975.8,2424.6,7.29,332.6,1459.34,0.07,97.52,1
4977.3,2421.7,7.2,332.39,1457.88,-0.05,97.17,1
4978.5,2425.7,7.29,332.17,1457.71,0.02,97.27,1
4980.0,2416.2,7.31,331.96,1457.53,-0.01,96.78,1
4980.8,2412.0,7.25,331.74,1456.8,-0.05,94.34,1
4981.9,2411.7,7.31,331.5,1457.05,-0.04,95.72,1
4983.4,2422.1,7.25,331.31,1456.28,-0.03,96.39,1
4982.4,2418.8,7.28,331.07,1455.39,-0.07,95.08,1
4982.7,2409.3,7.34,330.88,1455.27,-0.01,94.43,1
4984.5,2408.2,7.3,330.67,1455.37,-0.21,94.36,1
4985.2,2415.6,7.29,330.45,1454.96,0.03,95.58,1
4986.2,2416.9,7.35,330.25,1453.59,-0.05,95.24,1
4986.3,2415.3,7.34,330.02,1452.59,0.0,95.05,1
4987.7,2407.1,7.28,329.86,1452.34,-0.05,94.51,1
4987.4,2403.5,7.3,329.67,1452.5,-0.09,93.28,1
4986.1,2403.4,7.28,329.47,1452.42,0.21,94.22,1
4988.2,2413.1,7.31,329.27,1452.17,0.04,94.79,1
4991.1,2417.1,7.26,329.12,1452.38,0.01,94.65,1
4993.1,2406.7,7.26,328.94,1451.87,0.08,92.88,1
4996.2,2396.1,7.31,328.66,1451.41,-0.21,90.51,1
4997.4,2433.4,8.11,328.61,1451.13,-0.03,93.87,1
4998.8,2476.4,8.37,328.46,1451.21,0.09,92.91,1
5002.5,2491.4,8.5,328.29,1453.38,-0.02,92.63,1
5007.7,2497.0,8.43,328.15,1456.13,0.03,94.4,1
5013.8,2487.1,8.43,328.01,1459.05,0.11,92.71,1
5016.5,2478.5,8.38,327.87,1459.65,-0.08,90.42,1
5016.5,2481.1,8.44,327.74,1460.39,0.04,90.36,1
5016.9,2470.1,8.29,327.61,1460.91,0.11,89.39,1
5017.8,2469.0,8.37,327.48,1461.22,-0.09,89.1,1
5017.8,2466.9,8.41,327.36,1461.27,-0.01,88.25,1
