AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
1017.0,2004.2,6.19,311.11,1408.13,-0.08,65.85,1
1015.5,1992.6,6.16,311.32,1408.45,-0.06,63.95,1
1012.4,1988.2,6.09,311.57,1408.95,-0.04,63.98,1
1008.3,1984.6,6.03,311.74,1409.47,0.07,62.05,1
1004.1,1982.1,6.11,312.01,1409.87,0.0,62.28,1
1000.5,1984.9,6.19,312.3,1410.17,-0.01,62.11,1
997.0,1981.0,6.14,312.51,1410.42,0.04,61.86,1
993.3,1965.2,5.71,312.79,1410.28,-0.04,62.13,1
989.9,1937.8,5.5,312.98,1411.58,0.03,63.25,1
987.9,1909.7,4.97,313.28,1413.63,0.01,61.78,1
985.1,1831.0,4.54,313.49,1415.79,-0.07,61.38,1
980.3,1808.9,4.48,313.77,1419.89,0.04,60.62,1
976.6,1805.3,4.48,314.08,1422.85,-0.01,60.23,1
973.8,1799.5,4.45,314.32,1425.28,-0.02,58.64,1
971.3,1798.1,4.5,314.58,1426.44,0.0,59.87,1
968.0,1798.8,4.48,314.78,1427.05,0.05,58.53,1
964.7,1804.5,4.46,315.01,1427.94,-0.03,61.5,1
961.2,1808.8,4.54,315.31,1428.67,-0.05,61.01,1
956.7,1810.7,4.5,315.58,1429.05,0.01,62.49,1
951.3,1809.0,4.49,315.76,1428.87,0.11,61.31,1
944.7,1816.5,4.55,316.23,1430.33,-0.04,63.47,1
940.4,1814.8,4.55,316.47,1430.55,-0.05,62.19,1
935.3,1814.4,4.47,316.7,1430.0,0.01,62.2,1
931.0,1807.3,4.52,316.91,1429.78,-0.11,60.88,1
926.4,1805.7,4.44,317.15,1428.84,-0.03,61.06,1
921.1,1808.6,4.51,317.35,1428.48,-0.01,61.99,1
916.7,1808.4,4.6,317.56,1428.07,0.05,61.91,1
912.7,1814.9,4.49,317.78,1427.34,-0.01,62.12,1
909.0,1813.7,4.53,318.01,1427.32,-0.17,62.2,1
904.2,1816.9,4.54,318.19,1428.03,0.04,62.32,1
