AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
5725.8,2492.3,8.11,333.77,1442.63,-0.05,99.12,1
5732.2,2484.9,8.19,333.68,1442.97,0.06,98.87,1
5738.4,2486.9,8.1,333.72,1442.37,-0.02,98.21,1
5742.2,2477.8,8.08,333.74,1442.84,-0.03,96.9,1
5745.3,2474.9,8.11,333.66,1443.09,-0.05,97.85,1
5747.6,2480.6,8.19,333.8,1443.64,-0.13,98.3,1
5749.9,2488.0,8.18,334.56,1444.66,0.26,98.86,1
5755.3,2475.3,8.18,334.75,1445.97,0.16,96.95,1
5761.9,2472.4,8.06,334.75,1445.82,0.03,98.21,1
5768.4,2482.0,8.11,334.16,1444.54,0.03,98.33,1
5774.6,2485.1,8.11,334.03,1443.75,-0.02,98.3,1
5782.0,2473.8,8.08,333.91,1443.13,0.08,97.28,1
5792.0,2477.2,8.03,334.72,1443.23,0.08,98.82,1
5801.7,2468.5,8.07,334.17,1442.6,0.12,97.33,1
5812.9,2475.4,8.07,334.03,1441.57,-0.2,96.71,1
5822.0,2488.0,8.12,334.15,1441.21,0.03,99.25,1
5834.1,2489.3,8.16,334.21,1440.47,0.08,97.97,1
5847.8,2482.9,8.1,334.27,1439.66,0.03,98.91,1
5859.3,2483.8,8.12,334.29,1439.59,0.06,98.14,1
5871.7,2486.9,8.1,334.29,1440.07,0.02,99.05,1
5883.6,2493.0,8.22,334.97,1440.57,-0.08,99.27,1
5894.2,2484.0,8.08,334.56,1440.47,-0.21,97.7,1
5903.0,2497.0,8.12,334.33,1440.73,-0.0,100.92,1
5912.6,2500.7,8.09,334.42,1441.46,-0.01,101.78,1
5920.8,2498.2,8.14,334.54,1442.17,-0.17,100.44,1
5928.6,2507.9,8.19,334.56,1442.84,0.04,102.92,1
5938.2,2512.4,8.21,334.45,1442.76,0.1,101.95,1
5948.2,2514.6,8.19,334.56,1442.73,0.01,103.89,1
5958.6,2539.8,8.14,334.66,1443.12,-0.1,106.02,1
5966.7,2522.0,8.21,334.7,1444.34,-0.1,102.85,1
