AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
3030.2,2533.4,9.57,350.9,1483.81,-0.1,98.48,1
3035.9,2541.2,9.62,351.12,1483.89,-0.12,99.08,1
3041.3,2538.7,9.59,351.3,1483.75,-0.08,100.41,1
3045.4,2551.8,9.62,351.49,1483.96,-0.24,101.46,1
3043.7,2565.0,9.73,351.68,1484.42,-0.06,103.87,1
3039.4,2579.3,9.82,351.91,1485.27,-0.05,106.2,1
3033.5,2586.1,9.69,352.07,1485.65,0.02,106.08,1
3027.1,2584.6,9.54,352.25,1486.13,-0.05,106.89,1
3024.7,2593.7,9.56,352.47,1486.54,0.24,110.01,1
3025.5,2603.1,9.69,352.65,1486.64,-0.03,111.22,1
3023.4,2591.8,9.65,352.85,1487.02,0.06,108.18,1
3022.8,2582.6,9.6,352.94,1487.14,-0.04,108.07,1
3021.7,2577.5,9.44,353.22,1486.96,-0.09,106.41,1
3018.1,2542.6,9.02,353.6,1487.68,-0.03,103.29,1
3017.0,2553.8,9.12,353.75,1489.04,-0.06,108.56,1
3018.0,2555.6,8.93,353.93,1490.57,-0.1,109.39,1
3016.4,2539.4,8.7,354.08,1491.57,0.16,106.87,1
3015.2,2538.1,8.84,354.26,1492.61,0.21,109.35,1
3015.6,2558.4,8.96,354.42,1492.62,0.22,110.32,1
3027.6,2552.9,8.76,354.7,1491.91,-0.04,110.19,1
3034.7,2512.1,8.33,354.77,1493.36,-0.11,108.36,1
3036.8,2482.2,8.05,354.87,1495.72,-0.12,105.32,1
3034.7,2476.1,8.07,354.99,1495.94,-0.04,107.09,1
3031.9,2475.8,8.01,355.12,1496.19,0.08,107.88,1
3031.2,2490.3,8.08,355.29,1496.83,0.17,110.04,1
3038.2,2506.3,8.1,355.3,1497.33,0.08,113.12,1
3046.9,2519.4,8.12,355.33,1498.42,-0.16,112.79,1
3052.2,2504.8,7.55,355.42,1500.0,-0.22,114.48,1
3052.7,2498.6,7.44,355.44,1503.93,-0.1,115.07,1
3049.7,2484.5,7.53,355.44,1505.35,0.12,115.24,1
