window_start,decision_score,is_anomaly
0,-0.7414770732513731,1
25,-0.22789722231875054,1
50,0.10315740773025528,0
75,0.28808301463627606,0
100,0.4220320003911504,0
125,0.5315208194686769,0
150,0.6338648573510519,0
175,0.7159883404923018,0
200,0.7987033944776969,0
225,0.5324413447422134,0
250,0.547518390576387,0
275,0.6994028530471446,0
300,0.5499861071919985,0
325,0.20291623211834908,0
350,0.24771036594364793,0
375,0.3614922818868771,0
400,0.412681647812716,0
425,0.5636278929789937,0
450,0.15839050234558671,0
475,0.07861493532077057,0
500,0.0010177455280766523,0
525,0.30338126792002607,0
550,0.276077690015351,0
575,0.07415953327932723,0
600,-0.5992873758056061,1
625,-0.7627558892808102,1
650,-1.1560452355745938,1
675,-0.6462857618860705,1
700,-0.2592688440706459,1
725,-1.0108056360954927,1
750,-0.21494121056591142,1
775,-0.2070479317430194,1
800,-0.15832979664858948,1
825,0.06413106254239898,0
850,-1.1295967400082843,1
875,-0.9754194774219704,1
900,-1.184624270838646,1
925,-1.2652089930236392,1
950,-1.6991489877997235,1
975,-1.7022753853479573,1
1000,-1.46639442278249,1
1025,-1.936654446957542,1
1050,-1.598534107116381,1
1075,-1.372898035545942,1
1100,-1.6556946079393993,1
1125,-2.5266359531440035,1
1150,-1.8413448416780507,1
1175,-1.955367547794723,1
1200,-2.25488314201589,1
1225,-1.9546800800576474,1
1250,-1.551850019985952,1
1275,-1.679973251472672,1
1300,-1.790801840577653,1
1325,-1.7775205126550708,1
1350,-1.9993617927573364,1
1375,-1.5339347491006516,1
1400,-1.683998107725968,1
1425,-1.929459097730312,1
1450,-2.175301066592602,1
1475,-2.1846422651217203,1
1500,-2.0105287613304155,1
1525,-1.3558502196393154,1
1550,-1.2300377023489246,1
1575,-1.367197356440999,1
1600,-1.508872026476693,1
1625,-1.5847162355940965,1
1650,-1.9950174024115055,1
1675,-2.009791509227526,1
1700,-1.5447324253716936,1
1725,-1.7498024858694619,1
1750,-1.9532306701824695,1
1775,-1.7724461065828874,1
1800,-1.7457245449067722,1
1825,-1.7037574386346535,1
1850,-1.6031835280057014,1
1875,-1.9525480487622844,1
1900,-1.3256010748758564,1
1925,-1.3695559589320898,1
1950,-1.4526549603543422,1
1975,-1.6608888651822724,1
2000,-2.658757789342058,1
2025,-2.8568865715062777,1
2050,-1.9135744991983556,1
2075,-2.09387022003193,1
2100,-2.1697210094821195,1
2125,-1.484577716337213,1
2150,-1.5429548924129581,1
2175,-1.3793995100374463,1
2200,-1.6257644737771448,1
2225,-1.660060887383846,1
2250,-1.3824949776443365,1
2275,-1.7280190228285668,1
2300,-2.098160076015944,1
2325,-1.7359043109291585,1
2350,-1.2630139423573938,1
2375,-1.5142259742945794,1
2400,-2.2232163499173443,1
2425,-2.365847750080311,1
2450,-1.648163484117335,1
2475,-2.0429067221647945,1
2500,-1.5864730231403996,1
2525,-1.9974836805151481,1
2550,-1.3704205173336437,1
2575,-1.9481837031217668,1
2600,-1.925649561255057,1
2625,-1.546818638439154,1
2650,-1.5122366454395366,1
2675,-1.6692272975514033,1
2700,-1.5480745910964444,1
2725,-1.5734353388622573,1
2750,-2.076274005203029,1
2775,-2.147533490553407,1
2800,-1.6059928083802002,1
2825,-1.3917806068295975,1
2850,-1.5183969021188308,1
2875,-1.0419103771069023,1
2900,-1.5591114509728636,1
2925,-1.3351349568832003,1
2950,-0.14831185960654825,1
2975,-0.9094661683102174,1
3000,-1.1312150364103744,1
3025,-0.09929207933277429,1
3050,0.5255906291163472,0
3075,0.6033381051321451,0
3100,1.0085664814872053,0
3125,0.37931276276667214,0
3150,1.0241242419710894,0
3175,0.2941487390340165,0
