window_start,decision_score,is_anomaly
0,-2.722312352502338,1
25,-2.070960942135369,1
50,-1.2398788720655252,1
75,-0.4788765987540238,1
100,-0.0529942451727039,1
125,0.12435497125868489,0
150,0.3484271078507377,0
175,0.5582754333832924,0
200,0.6435795888426861,0
225,0.6995691543701272,0
250,0.753457292592834,0
275,0.7516101522509362,0
300,0.7307289684277687,0
325,0.8726327170899686,0
350,0.9474366505617273,0
375,0.9562985578313898,0
400,0.9175108486572339,0
425,0.8950942753473163,0
450,0.9021294435461429,0
475,0.8091243671441473,0
500,0.4995863435008867,0
525,0.4659302618442527,0
550,0.6852881215776558,0
575,1.0763123471672098,0
600,1.1500009081475802,0
625,1.0112170685673898,0
650,0.4285827785930034,0
675,-0.07818603232479493,1
700,0.003922741326130463,0
725,-0.3307974521152981,1
750,-0.5944989240796632,1
775,-1.3440101732862892,1
800,-1.5369887339091544,1
825,-1.6810710153555277,1
850,-2.0470770793870656,1
875,-2.3177798905302245,1
900,-2.5801762399680443,1
925,-2.8231039958977773,1
950,-2.8540625033088873,1
975,-2.9076169644666603,1
1000,-2.9329689767195326,1
1025,-2.7411306912913362,1
1050,-2.6341094834760224,1
1075,-2.6352245992754457,1
1100,-2.6298095728780027,1
1125,-2.773335728689652,1
1150,-2.838410915506582,1
1175,-2.743729899567947,1
1200,-2.728427293214054,1
1225,-2.7579608974609724,1
1250,-2.8539105375305525,1
1275,-2.811077328649565,1
1300,-2.779905976404993,1
1325,-2.8063613577027464,1
1350,-2.8193104543861427,1
1375,-2.9113477600851736,1
1400,-2.931787925167036,1
1425,-2.9337933981346143,1
1450,-2.8655697180716277,1
1475,-2.9066799486326564,1
1500,-2.824624131766424,1
1525,-2.9848237642483557,1
1550,-3.0722380887333505,1
1575,-3.0377477507556048,1
1600,-2.941508703599557,1
1625,-2.8868970115621773,1
1650,-2.8350630188559967,1
1675,-2.8628110358032544,1
1700,-2.9598882367561363,1
1725,-2.860262435336588,1
1750,-2.880186588737957,1
1775,-2.926049559598632,1
1800,-2.9836919404466924,1
1825,-2.9297606025102674,1
1850,-2.890400990450595,1
1875,-2.881398352303643,1
1900,-2.8389876979011888,1
1925,-2.8912483951798,1
1950,-2.8459301143012956,1
1975,-2.863643460576367,1
2000,-2.8774807091757033,1
2025,-2.851133746601207,1
2050,-2.91971746784825,1
2075,-2.9254150904156027,1
2100,-3.0195873918114797,1
2125,-2.7211576038733476,1
2150,-2.4655317394469813,1
2175,-2.4248811497249827,1
