file,window_idx,start_idx,end_idx,decision_score,top3_sensors,contrib_AltMSL,contrib_E1 RPM,contrib_E1 FFlow,contrib_E1 CHT1,contrib_E1 EGT1,contrib_NormAc,contrib_IAS
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,0,0,29,-3.385783132665331,"E1 CHT1, E1 EGT1, E1 RPM",0.0010469255246521997,0.05358888965423772,0.010485301056521405,0.7858074007096032,0.10833053662041466,0.03584947812334295,0.004891468309688476
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,1,25,54,-2.7366485672800103,"E1 CHT1, E1 EGT1, E1 RPM",0.001206049477645403,0.07493372581236162,0.015737065889400173,0.7621136151431037,0.09845077935615687,0.03691575628825741,0.01064300803220917
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,2,50,79,-1.8253452562509143,"E1 CHT1, E1 EGT1, E1 RPM",0.007240916702485486,0.09655638554905975,0.02354242090004353,0.6841498580776352,0.11089839823136853,0.052293707123891635,0.025318313414893615
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,3,75,104,-0.9631922068786358,"E1 CHT1, E1 EGT1, E1 RPM",0.02093677149394772,0.12195181395263122,0.03682396892204876,0.5472507675009916,0.12728540149244727,0.09042238745828732,0.055328889179103474
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,4,100,129,-0.3292730356174869,"E1 CHT1, E1 RPM, E1 EGT1",0.044274269085594495,0.15506006215578227,0.059460219653855825,0.3917299847391983,0.12899813853076453,0.11310221760478409,0.10737510822948865
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,5,125,154,0.03275385252029306,"E1 CHT1, E1 RPM, IAS",0.0732648610554663,0.1815627454339732,0.08542900617932417,0.23254117191610998,0.12233182411530334,0.13823359341178523,0.16663679788752994
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,6,150,179,0.23934392199051802,"IAS, E1 RPM, E1 CHT1",0.0973093174082846,0.1949757854142545,0.11584129467267859,0.14336091574660542,0.08359974151221974,0.1430803498911099,0.22183259535437552
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,7,175,204,0.4444319753696102,"IAS, E1 RPM, E1 FFlow",0.12227832196912312,0.20492476216284825,0.146645735291162,0.12204524607687071,0.03447090705600008,0.09216185719826085,0.2774731702452881
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,8,200,229,0.5776999438277977,"IAS, E1 RPM, E1 FFlow",0.1292681223469251,0.1912970710201615,0.1590543797213101,0.11765769895493297,0.030241972009633876,0.08073450525112615,0.291746250695524
open_2017_05_08_close_2017_05_08_flight_Fixed Wing_N550ND_before_0_189617.csv,9,225,254,0.6648163479341078,"IAS, E1 RPM, E1 FFlow",0.12314983917521238,0.1729218196058236,0.15772619908508492,0.10874060129166474,0.0396671626483413,0.11994707465468353,0.2778473035388607
