window_idx,filename,path,dbscan_label,flight_id,subseq_id,ocsvm_score,anomaly_flag,cluster_id,nearest_dist,viol_count_total,viol_sev_total,examm_flag,ocsvm_flag,dbscan_flag,hybrid_label
0,window_1000.csv,exact_data/anomaly/window_1000.csv,-1,,,,,0,12.436735671267323,1,5.294218985446461,0,0,0,0
1,window_10000.csv,exact_data/anomaly/window_10000.csv,-1,,,,,2,7.533510439212183,9,30.05599387702749,1,0,1,1
2,window_10025.csv,exact_data/anomaly/window_10025.csv,-1,,,,,2,7.8365367683016975,10,38.007766994170545,1,0,1,1
3,window_10050.csv,exact_data/anomaly/window_10050.csv,-1,,,,,2,6.785586171755509,6,32.815053150987744,1,0,1,1
4,window_10075.csv,exact_data/anomaly/window_10075.csv,0,,,,,2,7.412046388295543,9,35.54598209618357,1,0,0,1
5,window_10100.csv,exact_data/anomaly/window_10100.csv,0,,,,,2,7.553824156277935,7,38.085092586272935,1,0,0,1
6,window_10125.csv,exact_data/anomaly/window_10125.csv,0,,,,,2,8.678291769878387,9,43.25833335932695,1,0,0,1
7,window_10150.csv,exact_data/anomaly/window_10150.csv,0,,,,,3,9.7794876249443,11,35.11576185339609,1,0,0,1
8,window_10175.csv,exact_data/anomaly/window_10175.csv,0,,,,,3,11.66893188959492,11,42.83810352379847,1,0,0,1
9,window_10200.csv,exact_data/anomaly/window_10200.csv,0,,,,,5,10.240992035535742,4,20.148301707264128,1,0,0,1
10,window_10225.csv,exact_data/anomaly/window_10225.csv,0,,,,,5,7.748315408832612,4,12.67499036481962,1,0,0,1
11,window_1025.csv,exact_data/anomaly/window_1025.csv,0,,,,,0,12.120647522801333,3,8.140554498442476,0,0,0,0
12,window_10250.csv,exact_data/anomaly/window_10250.csv,0,,,,,5,6.987129585926104,4,16.194024137910557,1,0,0,1
13,window_10275.csv,exact_data/anomaly/window_10275.csv,0,,,,,5,8.039406211896061,8,18.54917711632831,1,0,0,1
14,window_10300.csv,exact_data/anomaly/window_10300.csv,0,,,,,5,8.339253234811231,6,19.976045915880366,1,0,0,1
15,window_10325.csv,exact_data/anomaly/window_10325.csv,0,,,,,5,6.448238884167375,5,15.358449958318836,1,0,0,1
16,window_10350.csv,exact_data/anomaly/window_10350.csv,0,,,,,5,5.886890158814846,5,15.030111675816842,1,0,0,1
17,window_10375.csv,exact_data/anomaly/window_10375.csv,0,,,,,5,7.295605620753423,7,16.233130906976594,1,0,0,1
18,window_10400.csv,exact_data/anomaly/window_10400.csv,0,,,,,5,8.122356756290891,8,17.986332453664193,1,0,0,1
19,window_10425.csv,exact_data/anomaly/window_10425.csv,0,,,,,5,8.428569883496909,6,21.26338529025491,1,0,0,1
20,window_10450.csv,exact_data/anomaly/window_10450.csv,0,,,,,5,6.823535475343201,6,16.309860581457293,1,0,0,1
21,window_10475.csv,exact_data/anomaly/window_10475.csv,0,,,,,5,7.226521227819641,9,16.510178178654257,1,0,0,1
22,window_1050.csv,exact_data/anomaly/window_1050.csv,0,,,,,0,11.72452026070434,0,6.228405707205534,0,0,0,0
23,window_10500.csv,exact_data/anomaly/window_10500.csv,0,,,,,5,5.340777469574644,4,13.754391503928804,1,0,0,1
24,window_10525.csv,exact_data/anomaly/window_10525.csv,0,,,,,5,5.359014978853863,5,13.24365537239182,1,0,0,1
25,window_10550.csv,exact_data/anomaly/window_10550.csv,0,,,,,5,3.5968016630352637,3,8.83836756924114,0,0,0,0
26,window_10575.csv,exact_data/anomaly/window_10575.csv,0,,,,,5,5.60193874111615,6,12.702971180592074,1,0,0,1
27,window_10600.csv,exact_data/anomaly/window_10600.csv,0,,,,,5,4.98871521325273,6,11.912206969549846,1,0,0,1
28,window_10625.csv,exact_data/anomaly/window_10625.csv,0,,,,,5,6.668207484199581,5,15.812411699365729,1,0,0,1
29,window_10650.csv,exact_data/anomaly/window_10650.csv,0,,,,,5,4.784122788263141,4,11.84967636263167,1,0,0,1
30,window_10675.csv,exact_data/anomaly/window_10675.csv,-1,,,,,5,4.795211349601428,5,12.267095405388536,1,0,1,1
31,window_10700.csv,exact_data/anomaly/window_10700.csv,-1,,,,,5,4.549104027288861,4,9.08795183358902,0,0,0,0
32,window_10725.csv,exact_data/anomaly/window_10725.csv,0,,,,,5,5.484475716734595,5,13.753022938988028,1,0,0,1
33,window_1075.csv,exact_data/anomaly/window_1075.csv,0,,,,,0,11.666598205534708,0,4.196171492088916,0,0,0,0
