file,label,value__mean,value__std,value__min,value__max
window_0.csv,0,20.17767795212667,0.9892369843175433,18.1051390894,21.8451169695
window_1.csv,0,20.188659746876667,1.163406181822999,18.001009818,21.9674981787
window_2.csv,0,20.23982147748,1.1504605023165648,18.1733824797,21.9860882877
window_3.csv,0,19.862535604319994,1.0334179816544278,18.1733824797,21.994591539699996
window_4.csv,0,58.50394814990333,24.189311964595802,18.1904495137,82.67338298899999
window_5.csv,0,78.66380614545,4.982287470783451,71.0210883865,87.0996450426
window_6.csv,0,80.17135193046002,4.2346419445541885,72.4444465903,87.9652763341
window_7.csv,0,81.09317233849666,4.402444596579772,72.8880560037,87.5775542316
window_8.csv,0,57.35635562703668,25.101062142397232,22.4755249615,87.29031920610001
window_9.csv,0,22.63379915487,3.7454370870376343,18.6869781922,34.131511085599996
window_10.csv,0,20.34055733099333,0.9570165154489079,18.3118065813,22.2090048501
window_11.csv,0,20.267603943383335,1.2682732082170405,18.048750204,21.8811443602
window_12.csv,0,19.755963620766668,1.1842862036049193,18.048750204,21.6250695892
window_13.csv,0,20.338657034410005,1.1051083220158724,18.0684883432,21.9756479529
window_14.csv,0,19.979949693290003,0.97699227517307,18.0637827458,21.8908398942
window_15.csv,0,34.34842378358334,22.02029743766467,18.0307912118,74.1576162013
window_16.csv,0,75.25208569989334,6.038442556917243,61.7535172155,85.4931665355
window_17.csv,0,80.70304564186999,5.031146156127648,72.1359469333,87.5463968029
window_18.csv,0,80.99486134388331,4.693501895049988,72.11996512510001,87.4730991023
window_19.csv,0,79.37930757273334,9.341202504301547,35.000584685300005,87.4730991023
window_20.csv,0,33.74661860767,18.52609669511214,20.5200163364,84.75156391770001
window_21.csv,0,20.26439479186,1.3948773525514744,18.1490807455,24.5383936208
window_22.csv,0,20.281379376816666,1.0994790592748003,18.1490807455,21.8522107229
window_23.csv,0,20.42266991946333,1.1194996749910842,18.1432371777,21.8490563121
window_24.csv,0,20.126340214846667,1.0049248860924476,18.3338771807,21.952988622800003
window_25.csv,0,20.582021927250004,0.8639156087568274,18.5892053828,21.9886512571
window_26.csv,0,20.036173729823325,1.2762336794545242,18.0034147897,21.9671454212
window_27.csv,0,56.07051789745667,24.52061190425288,18.0034147897,82.76046828850001
window_28.csv,0,79.46895673771334,4.807259284939306,71.0866146003,87.15012593629999
window_29.csv,0,80.49726117477333,4.651409211600753,72.1390381773,87.5062013018
window_30.csv,0,79.46868788059668,3.2078289647619833,73.9360706257,86.37516306639999
window_31.csv,0,59.41781573209666,25.11787050718343,23.409390094299997,86.1307824556
