file,label,start_timestamp,end_timestamp
window_0.csv,0,2014-04-01 00:00:00,2014-04-01 02:25:00
window_1.csv,0,2014-04-01 02:05:00,2014-04-01 04:30:00
window_2.csv,0,2014-04-01 04:10:00,2014-04-01 06:35:00
window_3.csv,0,2014-04-01 06:15:00,2014-04-01 08:40:00
window_4.csv,0,2014-04-01 08:20:00,2014-04-01 10:45:00
window_5.csv,0,2014-04-01 10:25:00,2014-04-01 12:50:00
window_6.csv,0,2014-04-01 12:30:00,2014-04-01 14:55:00
window_7.csv,0,2014-04-01 14:35:00,2014-04-01 17:00:00
window_8.csv,0,2014-04-01 16:40:00,2014-04-01 19:05:00
window_9.csv,0,2014-04-01 18:45:00,2014-04-01 21:10:00
window_10.csv,0,2014-04-01 20:50:00,2014-04-01 23:15:00
window_11.csv,0,2014-04-01 22:55:00,2014-04-02 01:20:00
window_12.csv,0,2014-04-02 01:00:00,2014-04-02 03:25:00
window_13.csv,0,2014-04-02 03:05:00,2014-04-02 05:30:00
window_14.csv,0,2014-04-02 05:10:00,2014-04-02 07:35:00
window_15.csv,0,2014-04-02 07:15:00,2014-04-02 09:40:00
window_16.csv,0,2014-04-02 09:20:00,2014-04-02 11:45:00
window_17.csv,0,2014-04-02 11:25:00,2014-04-02 13:50:00
window_18.csv,0,2014-04-02 13:30:00,2014-04-02 15:55:00
window_19.csv,0,2014-04-02 15:35:00,2014-04-02 18:00:00
window_20.csv,0,2014-04-02 17:40:00,2014-04-02 20:05:00
window_21.csv,0,2014-04-02 19:45:00,2014-04-02 22:10:00
window_22.csv,0,2014-04-02 21:50:00,2014-04-03 00:15:00
window_23.csv,0,2014-04-02 23:55:00,2014-04-03 02:20:00
window_24.csv,0,2014-04-03 02:00:00,2014-04-03 04:25:00
window_25.csv,0,2014-04-03 04:05:00,2014-04-03 06:30:00
window_26.csv,0,2014-04-03 06:10:00,2014-04-03 08:35:00
window_27.csv,0,2014-04-03 08:15:00,2014-04-03 10:40:00
window_28.csv,0,2014-04-03 10:20:00,2014-04-03 12:45:00
window_29.csv,0,2014-04-03 12:25:00,2014-04-03 14:50:00
window_30.csv,0,2014-04-03 14:30:00,2014-04-03 16:55:00
window_31.csv,0,2014-04-03 16:35:00,2014-04-03 19:00:00
window_32.csv,0,2014-04-03 18:40:00,2014-04-03 21:05:00
window_33.csv,0,2014-04-03 20:45:00,2014-04-03 23:10:00
window_34.csv,0,2014-04-03 22:50:00,2014-04-04 01:15:00
window_35.csv,0,2014-04-04 00:55:00,2014-04-04 03:20:00
window_36.csv,0,2014-04-04 03:00:00,2014-04-04 05:25:00
window_37.csv,0,2014-04-04 05:05:00,2014-04-04 07:30:00
window_38.csv,0,2014-04-04 07:10:00,2014-04-04 09:35:00
window_39.csv,0,2014-04-04 09:15:00,2014-04-04 11:40:00
window_40.csv,0,2014-04-04 11:20:00,2014-04-04 13:45:00
window_41.csv,0,2014-04-04 13:25:00,2014-04-04 15:50:00
window_42.csv,0,2014-04-04 15:30:00,2014-04-04 17:55:00
window_43.csv,0,2014-04-04 17:35:00,2014-04-04 20:00:00
window_44.csv,0,2014-04-04 19:40:00,2014-04-04 22:05:00
window_45.csv,0,2014-04-04 21:45:00,2014-04-05 00:10:00
window_46.csv,0,2014-04-04 23:50:00,2014-04-05 02:15:00
