timestamp,value
2014-04-14 06:45:00,21.032553846
2014-04-14 06:50:00,18.1349204298
2014-04-14 06:55:00,20.2046584059
2014-04-14 07:00:00,21.8781062426
2014-04-14 07:05:00,21.9249784027
2014-04-14 07:10:00,19.1270103134
2014-04-14 07:15:00,19.7655963643
2014-04-14 07:20:00,18.2519116319
2014-04-14 07:25:00,21.4933652304
2014-04-14 07:30:00,20.2742886126
2014-04-14 07:35:00,19.5404027158
2014-04-14 07:40:00,18.451082234
2014-04-14 07:45:00,21.787069141999996
2014-04-14 07:50:00,20.1208761913
2014-04-14 07:55:00,19.1317117163
2014-04-14 08:00:00,19.4008605205
2014-04-14 08:05:00,19.0827887237
2014-04-14 08:10:00,20.4072392354
2014-04-14 08:15:00,21.7198543031
2014-04-14 08:20:00,21.4267752133
2014-04-14 08:25:00,19.8415235017
2014-04-14 08:30:00,21.3059974492
2014-04-14 08:35:00,19.6924219251
2014-04-14 08:40:00,19.009228563
2014-04-14 08:45:00,21.9336604611
2014-04-14 08:50:00,19.2155502719
2014-04-14 08:55:00,19.2948969239
2014-04-14 09:00:00,74.6598230019
2014-04-14 09:05:00,63.0214139071
2014-04-14 09:10:00,71.54326223689999
