timestamp,value
2014-04-01 14:35:00,76.7497713346
2014-04-01 14:40:00,81.2313364867
2014-04-01 14:45:00,80.7111351745
2014-04-01 14:50:00,79.8587866682
2014-04-01 14:55:00,83.4765827479
2014-04-01 15:00:00,77.06386388119998
2014-04-01 15:05:00,84.51222102
2014-04-01 15:10:00,74.8044287246
2014-04-01 15:15:00,84.5211212147
2014-04-01 15:20:00,82.6201685228
2014-04-01 15:25:00,82.930536812
2014-04-01 15:30:00,79.7040891874
2014-04-01 15:35:00,82.6712308715
2014-04-01 15:40:00,73.2760492881
2014-04-01 15:45:00,85.6239958745
2014-04-01 15:50:00,72.8880560037
2014-04-01 15:55:00,74.3791501112
2014-04-01 16:00:00,81.228479377
2014-04-01 16:05:00,83.83042233260001
2014-04-01 16:10:00,73.2198844471
2014-04-01 16:15:00,86.73207050010002
2014-04-01 16:20:00,87.5775542316
2014-04-01 16:25:00,81.69504591329998
2014-04-01 16:30:00,79.6997422622
2014-04-01 16:35:00,83.8621585408
2014-04-01 16:40:00,77.2535693101
2014-04-01 16:45:00,79.8920775526
2014-04-01 16:50:00,86.6582500449
2014-04-01 16:55:00,87.29031920610001
2014-04-01 17:00:00,86.8330725129
