AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
3608.5,2413.3,7.24,330.18,1492.31,0.03,101.01,1
3611.0,2418.1,7.28,330.04,1492.73,0.03,102.22,1
3612.7,2418.0,7.27,330.09,1492.8,-0.06,102.96,1
3611.5,2419.7,7.27,330.04,1492.8,-0.05,101.92,1
3609.6,2417.0,7.25,330.06,1493.22,0.06,103.55,1
3606.5,2421.4,7.21,330.11,1492.89,-0.03,103.42,1
3603.7,2429.2,7.27,329.98,1492.39,-0.0,103.31,1
3601.8,2422.5,7.24,329.91,1491.81,-0.02,102.8,1
3599.0,2427.1,7.3,329.94,1490.79,0.02,103.89,1
3596.7,2426.8,7.28,329.97,1491.6,-0.06,103.7,1
3593.7,2425.9,7.23,329.98,1492.55,0.03,103.79,1
3591.2,2426.5,7.25,329.97,1492.94,0.02,103.18,1
3590.1,2434.9,7.35,329.98,1492.68,0.01,105.02,1
3589.9,2433.6,7.33,329.86,1493.0,0.0,103.48,1
3590.1,2428.6,7.34,329.81,1493.34,-0.07,103.67,1
3589.1,2429.2,7.34,329.76,1493.2,-0.04,103.67,1
3586.2,2430.1,7.38,329.71,1492.58,-0.02,103.44,1
3581.9,2425.7,7.31,329.7,1491.96,0.02,103.8,1
3579.4,2432.5,7.3,329.68,1491.12,-0.01,103.52,1
3577.5,2433.8,7.37,329.59,1491.87,-0.01,104.32,1
3575.9,2435.3,7.31,329.57,1492.99,0.03,103.9,1
3574.9,2428.9,7.26,329.65,1493.35,-0.05,103.97,1
3573.3,2421.7,7.27,329.7,1493.78,0.0,103.2,1
3573.8,2428.7,7.28,329.56,1493.53,0.01,103.7,1
3574.0,2425.6,7.33,329.45,1492.03,-0.12,102.64,1
3573.0,2432.8,7.27,329.43,1491.34,-0.06,103.94,1
3571.0,2424.1,7.33,329.51,1491.63,0.0,102.76,1
3568.7,2420.0,7.29,329.49,1491.44,0.06,102.83,1
3567.2,2425.9,7.28,329.33,1491.92,0.0,103.88,1
3563.3,2426.3,7.27,329.36,1491.66,-0.05,102.2,1
