AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
840.7,1018.7,1.77,295.65,1128.01,-0.03,0.0,1
840.7,1019.0,1.78,295.78,1127.21,0.0,0.0,1
840.6,1013.7,1.83,295.83,1126.84,0.01,0.0,1
840.5,1015.2,1.79,295.89,1125.91,0.02,0.0,1
840.6,1011.8,1.8,295.81,1126.26,0.01,0.0,1
840.9,1012.5,1.76,295.82,1126.4,-0.02,0.0,1
841.7,1007.8,1.82,296.01,1125.45,0.02,0.0,1
841.8,1002.9,1.82,295.94,1124.72,-0.01,0.0,1
841.9,1002.4,1.77,296.08,1124.22,-0.01,0.0,1
841.9,994.6,1.79,296.15,1124.37,0.02,0.0,1
841.9,992.1,1.8,296.08,1123.98,0.01,0.0,1
841.1,990.8,1.78,296.07,1123.95,0.0,0.0,1
840.0,990.0,1.87,296.23,1124.58,0.02,0.0,1
839.8,987.3,1.81,296.26,1125.13,0.01,0.0,1
839.7,984.0,1.79,296.34,1125.56,0.0,0.0,1
839.5,991.2,1.78,296.37,1124.92,-0.0,0.0,1
839.5,997.9,1.81,296.25,1124.68,-0.02,0.0,1
840.9,996.4,1.81,296.3,1124.4,-0.01,0.0,1
841.7,988.0,1.82,296.46,1125.13,-0.03,0.0,1
841.9,994.8,1.76,296.48,1125.26,-0.0,0.0,1
842.1,991.4,1.82,296.48,1125.01,0.0,0.0,1
842.2,987.8,1.83,296.36,1125.47,-0.0,0.0,1
842.2,989.8,1.79,296.51,1125.66,-0.01,0.0,1
841.1,997.5,1.81,296.6,1125.18,0.03,0.0,1
840.7,1002.8,1.8,296.49,1124.26,-0.03,0.0,1
840.7,1000.0,1.76,296.6,1124.03,0.01,0.0,1
840.7,1001.5,1.82,296.52,1123.77,-0.01,0.0,1
840.6,1003.4,1.82,296.66,1124.12,-0.01,0.0,1
840.7,997.6,1.84,297.52,1124.49,-0.01,0.0,1
841.9,1008.1,1.86,296.83,1122.91,0.0,0.0,1
