AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
4975.6,2444.8,6.78,316.6,1460.35,0.04,107.41,1
4978.1,2438.7,6.8,316.51,1459.61,0.01,106.83,1
4979.2,2432.9,6.74,316.41,1459.78,-0.08,106.13,1
4977.4,2431.7,6.77,316.13,1459.57,0.05,105.77,1
4977.0,2435.5,6.79,315.88,1460.05,0.01,104.95,1
4976.9,2437.5,6.97,315.82,1459.26,0.04,103.91,1
4979.3,2465.3,7.36,315.69,1457.61,-0.05,103.21,1
4981.5,2476.7,7.81,315.39,1455.97,0.01,102.86,1
4984.8,2487.7,7.74,315.18,1455.06,-0.01,101.75,1
4988.2,2480.3,7.77,314.99,1454.93,-0.03,100.09,1
4990.2,2467.1,7.65,314.87,1455.78,-0.06,98.64,1
4991.7,2451.8,7.62,314.61,1456.06,-0.07,96.97,1
4990.9,2454.3,7.62,314.43,1456.28,-0.02,96.97,1
4989.5,2450.1,7.6,314.21,1455.99,-0.1,97.26,1
4988.0,2448.5,7.64,314.04,1455.31,0.02,96.11,1
4987.2,2447.6,7.59,313.83,1454.76,0.02,97.17,1
4987.9,2440.9,7.59,313.8,1454.67,-0.08,95.71,1
4986.9,2439.5,7.61,313.53,1453.65,0.04,94.61,1
4987.8,2433.4,7.57,313.33,1452.37,0.06,94.27,1
4989.6,2438.0,7.87,313.11,1452.04,0.02,94.27,1
4992.4,2461.1,8.13,312.95,1451.91,-0.12,94.11,1
4992.8,2478.1,8.17,312.91,1452.28,0.0,94.32,1
4994.1,2475.1,8.26,312.74,1452.52,-0.06,93.66,1
4994.1,2472.0,8.19,312.59,1454.36,-0.06,92.69,1
4992.1,2471.0,8.2,312.51,1455.11,0.05,92.83,1
4990.2,2468.8,8.14,312.39,1456.02,-0.1,92.64,1
4987.7,2472.7,8.17,312.42,1456.8,0.01,94.28,1
4987.7,2472.3,8.19,312.28,1457.8,0.22,93.56,1
4987.8,2487.5,8.2,312.19,1458.64,0.03,94.76,1
4988.3,2484.7,8.35,312.12,1459.59,-0.06,94.48,1
