window_idx,filename,path,dbscan_label
0,window_1000.csv,exact_data/anomaly/window_1000.csv,-1
1,window_10000.csv,exact_data/anomaly/window_10000.csv,-1
2,window_10025.csv,exact_data/anomaly/window_10025.csv,-1
3,window_10050.csv,exact_data/anomaly/window_10050.csv,-1
4,window_10075.csv,exact_data/anomaly/window_10075.csv,0
5,window_10100.csv,exact_data/anomaly/window_10100.csv,0
6,window_10125.csv,exact_data/anomaly/window_10125.csv,0
7,window_10150.csv,exact_data/anomaly/window_10150.csv,0
8,window_10175.csv,exact_data/anomaly/window_10175.csv,0
9,window_10200.csv,exact_data/anomaly/window_10200.csv,0
10,window_10225.csv,exact_data/anomaly/window_10225.csv,0
11,window_1025.csv,exact_data/anomaly/window_1025.csv,0
12,window_10250.csv,exact_data/anomaly/window_10250.csv,0
13,window_10275.csv,exact_data/anomaly/window_10275.csv,0
14,window_10300.csv,exact_data/anomaly/window_10300.csv,0
15,window_10325.csv,exact_data/anomaly/window_10325.csv,0
16,window_10350.csv,exact_data/anomaly/window_10350.csv,0
17,window_10375.csv,exact_data/anomaly/window_10375.csv,0
18,window_10400.csv,exact_data/anomaly/window_10400.csv,0
19,window_10425.csv,exact_data/anomaly/window_10425.csv,0
20,window_10450.csv,exact_data/anomaly/window_10450.csv,0
21,window_10475.csv,exact_data/anomaly/window_10475.csv,0
22,window_1050.csv,exact_data/anomaly/window_1050.csv,0
23,window_10500.csv,exact_data/anomaly/window_10500.csv,0
24,window_10525.csv,exact_data/anomaly/window_10525.csv,0
25,window_10550.csv,exact_data/anomaly/window_10550.csv,0
26,window_10575.csv,exact_data/anomaly/window_10575.csv,0
27,window_10600.csv,exact_data/anomaly/window_10600.csv,0
28,window_10625.csv,exact_data/anomaly/window_10625.csv,0
29,window_10650.csv,exact_data/anomaly/window_10650.csv,0
30,window_10675.csv,exact_data/anomaly/window_10675.csv,-1
31,window_10700.csv,exact_data/anomaly/window_10700.csv,-1
32,window_10725.csv,exact_data/anomaly/window_10725.csv,0
33,window_1075.csv,exact_data/anomaly/window_1075.csv,0
34,window_10750.csv,exact_data/anomaly/window_10750.csv,0
35,window_10775.csv,exact_data/anomaly/window_10775.csv,0
36,window_10800.csv,exact_data/anomaly/window_10800.csv,-1
37,window_10825.csv,exact_data/anomaly/window_10825.csv,1
38,window_10850.csv,exact_data/anomaly/window_10850.csv,1
39,window_10875.csv,exact_data/anomaly/window_10875.csv,1
40,window_10900.csv,exact_data/anomaly/window_10900.csv,1
41,window_10925.csv,exact_data/anomaly/window_10925.csv,1
42,window_10950.csv,exact_data/anomaly/window_10950.csv,1
43,window_10975.csv,exact_data/anomaly/window_10975.csv,1
44,window_1100.csv,exact_data/anomaly/window_1100.csv,1
45,window_11000.csv,exact_data/anomaly/window_11000.csv,2
