AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
844.5,1036.7,1.92,236.43,1134.42,-0.01,0.0,0
844.3,1034.9,1.96,236.96,1134.71,0.0,0.0,0
843.6,1034.3,1.92,237.52,1134.87,0.0,0.0,0
843.2,1042.2,1.88,238.27,1134.59,0.02,0.0,0
843.0,1038.9,1.9,238.92,1134.07,0.01,0.0,0
842.6,1038.3,1.94,239.5,1133.31,-0.01,0.0,0
846.8,1040.3,1.91,240.12,1133.34,-0.03,0.0,0
842.5,1036.5,1.93,240.69,1132.06,0.02,0.0,0
841.8,1036.6,1.94,241.3,1130.56,0.02,0.0,0
841.8,1037.1,1.96,241.85,1130.29,-0.0,0.0,0
841.7,1031.9,1.9,242.46,1130.17,0.0,0.0,0
841.5,1031.0,1.92,243.12,1130.06,0.01,0.0,0
841.5,1031.3,1.95,243.63,1129.61,0.0,0.0,0
842.1,1030.3,1.91,244.19,1129.41,0.01,0.0,0
842.6,1038.3,1.9,244.84,1129.64,0.02,0.0,0
842.7,1030.3,1.92,245.44,1130.43,0.0,0.0,0
842.6,1030.8,1.88,245.99,1130.78,0.01,0.0,0
842.8,1033.0,1.97,246.54,1130.63,0.01,0.0,0
842.8,1034.8,1.92,247.09,1129.93,-0.02,0.0,0
842.3,1035.1,1.89,247.65,1129.52,-0.0,0.0,0
840.8,1029.9,1.92,248.16,1129.45,0.0,0.0,0
840.7,1035.5,1.93,248.68,1129.17,-0.01,0.0,0
840.7,1035.8,1.93,249.23,1128.87,0.01,0.0,0
840.6,1033.7,1.9,249.77,1128.58,0.0,0.0,0
840.8,1042.0,1.94,250.27,1128.16,0.02,0.0,0
841.4,1043.3,1.91,250.77,1127.44,-0.02,0.0,0
842.9,1035.7,1.86,251.32,1125.97,-0.02,0.0,0
843.1,1035.7,1.89,251.81,1126.5,0.01,0.0,0
843.2,1033.8,1.92,252.33,1126.9,0.0,0.0,0
843.4,1035.8,1.94,252.8,1126.01,-0.01,0.0,0
