AltMSL,E1 RPM,E1 FFlow,E1 CHT1,E1 EGT1,NormAc,IAS,anomaly_flag
828.7,928.1,1.67,184.7,1173.47,0.0,0.0,0
829.4,944.9,1.71,185.41,1163.09,-0.01,0.0,0
829.9,963.1,1.79,186.14,1155.75,-0.01,0.0,0
831.1,1067.4,1.96,186.94,1154.19,-0.01,0.0,0
831.2,1106.2,1.99,187.6,1161.4,-0.0,0.0,0
827.1,1118.4,1.99,188.38,1171.42,0.02,0.0,0
826.8,1112.8,1.96,189.12,1179.4,0.0,0.0,0
826.5,1107.8,1.98,189.84,1184.75,-0.01,0.0,0
824.9,1115.4,1.97,190.64,1190.44,-0.01,0.0,0
824.2,1113.9,1.96,191.41,1196.01,0.01,0.0,0
824.6,1112.2,1.98,192.18,1200.95,0.0,0.0,0
827.9,1114.0,1.95,192.35,1204.24,-0.02,0.0,0
828.8,1117.7,1.96,192.81,1207.41,-0.01,0.0,0
835.2,1114.3,1.96,193.5,1209.07,0.01,0.0,0
835.2,1120.6,2.0,194.33,1211.22,-0.01,0.0,0
835.2,1121.2,1.95,195.1,1215.16,0.01,0.0,0
835.1,1118.3,1.98,195.8,1219.48,0.0,0.0,0
833.3,1116.6,1.96,196.56,1222.54,-0.02,0.0,0
847.1,1122.0,1.97,197.28,1224.74,0.03,0.0,0
846.5,1117.2,1.95,198.02,1226.25,-0.0,0.0,0
846.5,1114.1,1.96,198.75,1227.0,-0.01,0.0,0
850.4,1119.6,1.91,199.59,1229.01,0.0,0.0,0
850.4,1122.3,2.01,200.35,1229.78,-0.02,0.0,0
851.6,1116.3,1.98,201.17,1230.68,0.0,0.0,0
851.9,1117.9,1.97,201.84,1231.77,-0.01,0.0,0
852.2,1118.6,1.96,202.54,1233.11,0.01,0.0,0
852.4,1111.4,1.95,203.27,1234.38,-0.01,0.0,0
849.2,1112.3,1.96,203.99,1237.18,0.02,0.0,0
849.0,1120.4,1.93,204.81,1239.35,0.0,0.0,0
848.8,1116.8,1.97,205.59,1242.36,-0.02,0.0,0
